date,Central bank liquidity swaps,Corporate Credit Facility LLC,Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (Through 2010-02-03),"Credit extended to American International Group, Inc., Net",Money Market Mutual Fund Liquidity Facility (Post 2020-03-18),Other credit extensions,Payroll Protection Program Liquidity Facility,Primary credit,Primary dealer and other broker-dealer credit (Through 2010-02-03),Primary dealer credit facility (Post 2020-03-17),Seasonal credit,Secondary credit,Term Asset-Backed Securities Loan Facility,Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money Market Investor Funding Facility,Term auction credit,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of TALF LLC,Foreign currency denominated assets,Bank premises,Coin,Gold certificate account,Interdistrict settlement account,Items in process of collection,Net portfolio holdings of Commercial Paper Funding Facility II LLC (Post 2020-04-14),"Other Assets, Consolidated Table",Repurchase agreements,Special drawing rights certificate account,Preferred interests in AIA Aurora LLC and ALICO Holdings LLC,Federal agency debt securities,Mortgage-backed securities,Bills,Inflation compensation,"Notes and bonds, inflation-indexed","Notes and bonds, nominal",Unamortized discounts on securities held outright,Unamortized premiums on securities held outright
2004-10-06,0,0,0,0,0,0,0,2,0,0,194,0,0,0,0,0,0,0,0,0,19473,1730,764,11039,0,7582,0,9095,21000,2200,0,0,0,258849,2136,15262,425339,-1317,9402
2004-10-13,0,0,0,0,0,0,0,2,0,0,184,0,0,0,0,0,0,0,0,0,19575,1732,748,11039,0,11128,0,9493,30250,2200,0,0,0,258878,2138,15262,425339,-1328,9371
2004-10-20,0,0,0,0,0,0,0,24,0,0,154,0,0,0,0,0,0,0,0,0,20028,1735,758,11039,0,8551,0,9488,21250,2200,0,0,0,259078,2140,15262,426333,-1325,9378
2004-10-27,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,20243,1748,767,11039,0,7469,0,9925,23750,2200,0,0,0,259201,2142,15262,430125,-1325,9489
2004-11-03,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,20343,1741,779,11039,0,8748,0,10079,20250,2200,0,0,0,259393,2147,15262,431328,-1352,9548
2004-11-10,0,0,0,0,0,0,0,1,0,0,77,0,0,0,0,0,0,0,0,0,20413,1745,772,11039,0,7907,0,10550,29500,2200,0,0,0,259720,2178,15683,431328,-1359,9554
2004-11-17,0,0,0,0,0,0,0,5,0,0,77,0,0,0,0,0,0,0,0,0,20745,1747,756,11039,0,9110,0,7049,24000,2200,0,0,0,259739,2186,15683,432526,-1420,9530
2004-11-24,0,0,0,0,0,0,0,1,0,0,71,0,0,0,0,0,0,0,0,0,20978,1753,739,11039,0,8061,0,7485,39000,2200,0,0,0,261190,2196,15683,432526,-1447,9495
2004-12-01,0,0,0,0,0,0,0,1,0,0,54,0,0,0,0,0,0,0,0,0,21128,1752,703,11039,0,8912,0,7563,33750,2200,0,0,0,262477,2205,15683,432526,-1489,9469
2004-12-08,0,0,0,0,0,0,0,2,0,0,51,0,0,0,0,0,0,0,0,0,20911,1756,710,11039,0,9204,0,7991,30500,2200,0,0,0,262733,2226,15683,436429,-1518,9473
2004-12-15,0,0,0,0,0,0,0,1,0,0,55,0,0,0,0,0,0,0,0,0,21138,1762,723,11039,0,8303,0,8319,28750,2200,0,0,0,262861,2262,16108,436429,-1529,9475
2004-12-22,0,0,0,0,0,0,0,24,0,0,55,0,0,0,0,0,0,0,0,0,21115,1773,722,11039,0,8902,0,8705,32000,2200,0,0,0,262861,2284,16108,436429,-1525,9444
2004-12-29,0,0,0,0,0,0,0,13,0,0,44,0,0,0,0,0,0,0,0,0,21260,1787,717,11041,0,7122,0,9085,33000,2200,0,0,0,262970,2306,16108,436429,-1534,9414
2005-01-05,0,0,0,0,0,0,0,21,0,0,23,0,0,0,0,0,0,0,0,0,21039,1774,719,11041,0,10602,0,9206,34500,2200,0,0,0,262970,2313,16108,436429,-1564,9383
2005-01-12,0,0,0,0,0,0,0,27,0,0,23,0,0,0,0,0,0,0,0,0,21185,1776,737,11041,0,8807,0,9624,18250,2200,0,0,0,262970,2316,16108,436429,-1578,9352
2005-01-19,0,0,0,0,0,0,0,42,0,0,19,0,0,0,0,0,0,0,0,0,20946,1779,751,11041,0,13810,0,9568,22500,2200,0,0,0,262970,2318,16108,436429,-1584,9322
